Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,168,0,2011.05,2011.05,0.5,0,100%
cleanup,delete,168,0,1991.77,1991.77,0.5,0,100%
cleanup,delete,168,0,1989.32,1989.32,0.5,0,100%
cleanup,delete,168,0,1976.07,1976.07,0.51,0,100%
cleanup,delete,168,0,2005,2005,0.5,0,100%
cleanup,delete,168,0,1981.9,1981.9,0.5,0,100%
cleanup,delete,168,0,1972.36,1972.36,0.51,0,100%
cleanup,delete,168,0,2001.57,2001.57,0.5,0,100%
cleanup,delete,168,0,1972.33,1972.33,0.51,0,100%
cleanup,delete,168,0,1990.73,1990.73,0.5,0,100%
cleanup,delete,168,0,2010.99,2010.99,0.5,0,100%
cleanup,delete,168,0,2008.93,2008.93,0.5,0,100%
cleanup,delete,168,0,1987.89,1987.89,0.5,0,100%
cleanup,delete,168,0,2011.42,2011.42,0.5,0,100%
cleanup,delete,168,0,2000.65,2000.65,0.5,0,100%
cleanup,delete,168,0,1981.87,1981.87,0.5,0,100%
cleanup,delete,168,0,1969.34,1969.34,0.51,0,100%
cleanup,delete,168,0,1947.5,1947.5,0.51,0,100%
cleanup,delete,168,0,2011,2011,0.5,0,100%
cleanup,delete,168,0,1970.24,1970.24,0.51,0,100%
cleanup,delete,168,0,1919.29,1919.29,0.52,0,100%
cleanup,delete,168,0,2006.95,2006.95,0.5,0,100%
cleanup,delete,168,0,2003.49,2003.49,0.5,0,100%
cleanup,delete,168,0,1985.78,1985.78,0.5,0,100%
cleanup,delete,168,0,1996.35,1996.35,0.5,0,100%
cleanup,delete,168,0,1980.61,1980.61,0.5,0,100%
cleanup,delete,168,0,1985.72,1985.72,0.5,0,100%
cleanup,delete,168,0,2002.84,2002.84,0.5,0,100%
cleanup,delete,168,0,1909.86,1909.86,0.52,0,100%
cleanup,delete,168,0,1899.78,1899.78,0.53,0,100%
cleanup,delete,168,0,1795.89,1795.89,0.56,0,100%
cleanup,delete,168,0,1998.39,1998.39,0.5,0,100%
cleanup,delete,168,0,1958.82,1958.82,0.51,0,100%
cleanup,delete,168,0,1990.65,1990.65,0.5,0,100%
cleanup,delete,168,0,2000.56,2000.56,0.5,0,100%
cleanup,delete,168,0,2006.89,2006.89,0.5,0,100%
cleanup,delete,168,0,2000.56,2000.56,0.5,0,100%
cleanup,delete,168,0,1996.56,1996.56,0.5,0,100%
cleanup,delete,168,0,2013.37,2013.37,0.5,0,100%
cleanup,delete,168,0,2009.45,2009.45,0.5,0,100%
cleanup,delete,168,0,2002.76,2002.76,0.5,0,100%
cleanup,delete,168,0,1961.57,1961.57,0.51,0,100%
cleanup,delete,168,0,1998.35,1998.35,0.5,0,100%
cleanup,delete,168,0,1989.19,1989.19,0.5,0,100%
cleanup,delete,168,0,1998.33,1998.33,0.5,0,100%
cleanup,delete,168,0,1993.43,1993.43,0.5,0,100%
cleanup,delete,168,0,1998.46,1998.46,0.5,0,100%
cleanup,delete,168,0,2016.65,2016.65,0.5,0,100%
cleanup,delete,160,0,1914.89,1914.89,0.52,0,100%
cleanup,delete,160,0,2081.19,2081.19,0.48,0,100%
cleanup,delete,160,0,1969.39,1969.39,0.51,0,100%
cleanup,delete,160,0,2008.21,2008.21,0.5,0,100%
cleanup,delete,160,0,2009.76,2009.76,0.5,0,100%
cleanup,delete,160,0,2034.83,2034.83,0.49,0,100%
cleanup,delete,160,0,1989.14,1989.14,0.5,0,100%
cleanup,delete,160,0,2066.74,2066.74,0.48,0,100%
cleanup,delete,160,0,1942.89,1942.89,0.51,0,100%
cleanup,delete,160,0,2063.41,2063.41,0.48,0,100%
cleanup,delete,160,0,1863.56,1863.56,0.54,0,100%
cleanup,delete,160,0,2043.92,2043.92,0.49,0,100%
cleanup,delete,160,0,1744.64,1744.64,0.57,0,100%
cleanup,delete,160,0,2066.79,2066.79,0.48,0,100%
cleanup,delete,160,0,2096.31,2096.31,0.48,0,100%
cleanup,delete,160,0,2014.71,2014.71,0.5,0,100%
cleanup,delete,160,0,2088.54,2088.54,0.48,0,100%
cleanup,delete,160,0,1896.7,1896.7,0.53,0,100%
cleanup,delete,160,0,1982.06,1982.06,0.5,0,100%
cleanup,delete,160,0,2081.12,2081.12,0.48,0,100%
cleanup,delete,160,0,1687.74,1687.74,0.59,0,100%
cleanup,delete,160,0,1888.42,1888.42,0.53,0,100%
cleanup,delete,160,0,1996.76,1996.76,0.5,0,100%
cleanup,delete,160,0,2080.72,2080.72,0.48,0,100%
cleanup,delete,160,0,2098.15,2098.15,0.48,0,100%
cleanup,delete,160,0,2066.61,2066.61,0.48,0,100%
cleanup,delete,160,0,1928.27,1928.27,0.52,0,100%
cleanup,delete,160,0,2089.96,2089.96,0.48,0,100%
cleanup,delete,160,0,2073.32,2073.32,0.48,0,100%
cleanup,delete,160,0,2050.82,2050.82,0.49,0,100%
cleanup,delete,160,0,1989.46,1989.46,0.5,0,100%
cleanup,delete,160,0,1676.06,1676.06,0.6,0,100%
cleanup,delete,160,0,2101.4,2101.4,0.48,0,100%
cleanup,delete,160,0,2059.65,2059.65,0.49,0,100%
cleanup,delete,160,0,2056.57,2056.57,0.49,0,100%
cleanup,delete,160,0,2045.38,2045.38,0.49,0,100%
cleanup,delete,160,0,2096.25,2096.25,0.48,0,100%
cleanup,delete,160,0,2059.66,2059.66,0.49,0,100%
cleanup,delete,160,0,1896.61,1896.61,0.53,0,100%
cleanup,delete,160,0,2018.79,2018.79,0.5,0,100%
cleanup,delete,160,0,2046.09,2046.09,0.49,0,100%
cleanup,delete,160,0,1987.02,1987.02,0.5,0,100%
cleanup,delete,160,0,1973.21,1973.21,0.51,0,100%
cleanup,delete,160,0,2014.99,2014.99,0.5,0,100%
cleanup,delete,160,0,1875.53,1875.53,0.53,0,100%
cleanup,delete,160,0,2067.49,2067.49,0.48,0,100%
cleanup,delete,160,0,2067.56,2067.56,0.48,0,100%
cleanup,delete,160,0,1919.68,1919.68,0.52,0,100%
cleanup,delete,160,0,2056.54,2056.54,0.49,0,100%
cleanup,delete,160,0,2093.93,2093.93,0.48,0,100%
cleanup,delete,160,0,1741.79,1741.79,0.57,0,100%
cleanup,delete,160,0,1859.97,1859.97,0.54,0,100%
