Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
09:51:29,10,0,1537.1,1537.1,1.95,0,100%,0,0,0
09:51:34,388,0,1454.33,1454.33,67.46,0,100%,1,1,1
09:51:39,305,0,2113.44,2113.44,48.51,0,100%,2,2,2
09:51:44,361,0,1576.29,1576.29,63.7,0,100%,3,3,3
09:51:49,323,0,1605.25,1605.25,56.12,0,100%,4,4,4
09:51:54,176,0,2441.28,2441.28,33.35,0,100%,5,5,5
09:51:59,217,0,1889.5,1889.5,48.56,0,100%,6,6,6
09:52:04,318,0,1670.8,1670.8,71.38,0,100%,7,7,7
09:52:09,240,0,2055.57,2055.57,45.72,0,100%,8,8,8
09:52:14,246,0,2482.71,2482.71,48.07,0,100%,9,9,9
09:52:19,270,0,1814.53,1814.53,46.81,0,100%,10,10,10
09:52:24,209,0,1792.93,1792.93,44.21,0,100%,11,11,11
09:52:29,227,0,2486.49,2486.49,49.35,0,100%,12,12,12
09:52:34,194,0,2345.77,2345.77,37.57,0,100%,13,13,13
09:52:39,326,0,1719.65,1719.65,68.16,0,100%,14,14,14
09:52:44,240,0,1964.75,1964.75,42.68,0,100%,15,15,15
09:52:49,172,0,2613.91,2613.91,34.66,0,100%,16,16,16
09:52:54,219,0,2435.2,2435.2,47.59,0,100%,17,17,17
09:52:59,251,0,1893.72,1893.72,48.8,0,100%,18,18,18
09:53:04,257,0,1948.77,1948.77,53.6,0,100%,19,19,19
09:53:09,256,0,2350.02,2350.02,48.23,0,100%,20,20,20
09:53:14,306,0,1736.34,1736.34,54.48,0,100%,21,21,21
09:53:19,271,0,1714.96,1714.96,53.03,0,100%,22,22,22
09:53:24,166,0,2113.61,2113.61,38.68,0,100%,23,23,23
09:53:29,232,0,2490.98,2490.98,52.08,0,100%,24,24,24
09:53:34,310,0,1676.35,1676.35,56.57,0,100%,25,25,25
09:53:39,246,0,1952.05,1952.05,47.52,0,100%,26,26,26
09:53:44,220,0,2463.91,2463.91,44.59,0,100%,27,27,27
09:53:49,297,0,1737.41,1737.41,56.35,0,100%,28,28,28
09:53:54,274,0,1805.22,1805.22,52.55,0,100%,29,29,29
09:53:59,216,0,2283.81,2283.81,44.56,0,100%,30,30,30
09:54:04,189,0,2451.32,2451.32,37.78,0,100%,31,31,31
09:54:09,254,0,1791.98,1791.98,57.09,0,100%,32,32,32
09:54:14,237,0,2018.81,2018.81,49.02,0,100%,33,33,33
09:54:19,229,0,2505.37,2505.37,47.01,0,100%,34,34,34
09:54:24,291,0,1815.53,1815.53,53.04,0,100%,35,35,35
09:54:29,253,0,1752.13,1752.13,48.72,0,100%,36,36,36
09:54:34,210,0,2623.44,2623.44,43.14,0,100%,37,37,37
09:54:39,239,0,2052.15,2052.15,47.5,0,100%,38,38,38
09:54:44,271,0,1829.82,1829.82,55.45,0,100%,39,39,39
09:54:49,191,0,2192.62,2192.62,38.16,0,100%,40,40,40
09:54:54,237,0,2422.38,2422.38,49.17,0,100%,41,41,41
09:54:59,272,0,1783.19,1783.19,53.21,0,100%,42,42,42
09:55:04,205,0,1826.6,1826.6,45.89,0,100%,43,43,43
09:55:09,230,0,2941.97,2941.97,45.27,0,100%,44,44,44
09:55:14,257,0,2249.44,2249.44,42.79,0,100%,45,45,45
09:55:19,191,0,1781.02,1781.02,36.36,0,100%,46,46,46
09:55:24,210,0,2269.75,2269.75,49.36,0,100%,47,47,47
09:55:29,237,0,2380.98,2380.98,49.87,0,100%,48,48,48
09:55:34,323,0,1729.53,1729.53,58.47,0,100%,49,49,49
09:55:39,247,0,2028.62,2028.62,44.19,0,100%,50,50,50
09:55:44,190,0,2493.09,2493.09,36,0,100%,51,51,51
09:55:49,260,0,1865.68,1865.68,55.62,0,100%,52,52,52
09:55:54,260,0,1823.54,1823.54,55.17,0,100%,53,53,53
09:55:59,184,0,2173.44,2173.44,37.6,0,100%,54,54,54
09:56:04,224,0,2734.54,2734.54,47.57,0,100%,55,55,55
09:56:09,298,0,1624.39,1624.39,53.57,0,100%,56,56,56
09:56:14,222,0,1865.4,1865.4,43.55,0,100%,57,57,57
09:56:19,221,0,2485.96,2485.96,43.98,0,100%,58,58,58
09:56:24,290,0,1815.69,1815.69,55.7,0,100%,59,59,59
09:56:29,218,0,1672.88,1672.88,40.35,0,100%,60,60,60
09:56:34,183,0,1887.36,1887.36,44.73,0,100%,61,61,61
09:56:39,203,0,2758.59,2758.59,42.47,0,100%,62,62,62
09:56:44,210,0,1731.58,1731.58,38.08,0,100%,63,63,63
09:56:49,260,0,1458.55,1458.55,56.4,0,100%,64,64,64
09:56:54,208,0,1499.1,1499.1,43.66,0,100%,65,65,65
09:56:59,164,0,1291.79,1291.79,43.89,0,100%,66,66,66
09:57:04,57,0,969.81,969.81,26.68,0,100%,67,67,67
